Name_of_Satellite_Station,Number_of_Jump_Point
20170821_G10,7
20170821_G13,10
20170821_G15,7
20170821_G16,6
20170821_G18,5
20170821_G20,2
20170821_G21,1
20170821_G24,10
20170821_G27,11
20170821_G29,2
20170821_G32,1
20170821_G08,8
20170821_G14,15
20170821_G11,18
20170821_G31,2
20170821_G01,15
20170821_G25,10
20170821_G22,3
20170821_G12,3
20170821_G03,8
20170821_G26,5
20170821_G23,0
20170821_G09,5
20170821_G06,16
20170821_G07,0
20170821_G30,0
20170821_G28,0
20170821_G05,1
20170821_G17,0
20170821_G19,6
20170821_G02,0
20170822_G10,6
20170822_G13,9
20170822_G15,4
20170822_G16,8
20170822_G18,3
20170822_G20,1
20170822_G21,1
20170822_G24,13
20170822_G27,8
20170822_G29,8
20170822_G32,1
20170822_G08,6
20170822_G14,12
20170822_G11,15
20170822_G31,1
20170822_G01,11
20170822_G22,4
20170822_G25,12
20170822_G12,1
20170822_G03,8
20170822_G26,6
20170822_G23,1
20170822_G09,5
20170822_G06,14
20170822_G07,0
20170822_G30,0
20170822_G28,0
20170822_G05,2
20170822_G17,0
20170822_G19,6
20170822_G02,3
20170823_G10,5
20170823_G13,9
20170823_G15,29
20170823_G16,5
20170823_G18,7
20170823_G20,4
20170823_G21,2
20170823_G24,10
20170823_G27,8
20170823_G29,2
20170823_G32,2
20170823_G08,7
20170823_G14,12
20170823_G11,11
20170823_G31,1
20170823_G01,9
20170823_G22,5
20170823_G25,11
20170823_G12,6
20170823_G03,10
20170823_G26,4
20170823_G23,0
20170823_G09,4
20170823_G06,11
20170823_G07,0
20170823_G30,0
20170823_G28,1
20170823_G05,3
20170823_G17,0
20170823_G19,3
20170823_G02,2
20170824_G10,7
20170824_G13,10
20170824_G15,4
20170824_G16,5
20170824_G18,2
20170824_G20,4
20170824_G21,3
20170824_G24,10
20170824_G27,11
20170824_G29,1
20170824_G32,3
20170824_G08,8
20170824_G14,13
20170824_G11,15
20170824_G31,3
20170824_G01,13
20170824_G22,4
20170824_G25,9
20170824_G12,3
20170824_G03,5
20170824_G26,4
20170824_G23,1
20170824_G09,6
20170824_G06,12
20170824_G07,1
20170824_G30,1
20170824_G28,1
20170824_G05,0
20170824_G17,0
20170824_G19,5
20170824_G02,3
20170825_G10,5
20170825_G13,8
20170825_G15,3
20170825_G16,8
20170825_G18,4
20170825_G20,1
20170825_G21,2
20170825_G24,8
20170825_G27,11
20170825_G29,1
20170825_G32,4
20170825_G08,6
20170825_G14,13
20170825_G11,12
20170825_G31,3
20170825_G01,12
20170825_G22,4
20170825_G12,1
20170825_G25,15
20170825_G03,7
20170825_G26,6
20170825_G23,3
20170825_G09,14
20170825_G06,21
20170825_G07,0
20170825_G30,0
20170825_G28,2
20170825_G05,2
20170825_G17,0
20170825_G19,5
20170825_G02,5
20170826_G10,5
20170826_G13,15
20170826_G15,3
20170826_G18,7
20170826_G20,11
20170826_G21,3
20170826_G24,10
20170826_G27,9
20170826_G29,2
20170826_G32,1
20170826_G08,4
20170826_G14,10
20170826_G11,15
20170826_G31,1
20170826_G01,9
20170826_G22,5
20170826_G12,1
20170826_G25,13
20170826_G03,7
20170826_G26,4
20170826_G23,0
20170826_G16,8
20170826_G09,4
20170826_G06,8
20170826_G07,0
20170826_G30,0
20170826_G28,0
20170826_G05,2
20170826_G17,0
20170826_G19,9
20170826_G02,2
20170827_G10,4
20170827_G13,14
20170827_G15,2
20170827_G18,1
20170827_G20,2
20170827_G21,4
20170827_G24,13
20170827_G27,9
20170827_G29,1
20170827_G32,1
20170827_G08,5
20170827_G14,9
20170827_G11,13
20170827_G31,1
20170827_G01,10
20170827_G22,3
20170827_G25,12
20170827_G12,7
20170827_G03,8
20170827_G26,8
20170827_G23,1
20170827_G16,8
20170827_G09,5
20170827_G06,11
20170827_G07,0
20170827_G30,0
20170827_G28,0
20170827_G05,2
20170827_G17,0
20170827_G19,12
20170827_G02,6
